dataset,pipeline,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std,ap_mean,ap_std,train_time_mean,train_time_std,classifier_time_mean,classifier_time_std,pretrain_time_mean,pretrain_time_std,link_pred_time_mean,link_pred_time_std
Synthetic Classification,Deep GCN,0.25705999999999996,0.011884569828142686,0.12429490860667629,0.02448251856157374,0.2576771575964088,0.01015635164724389,0.15870543561320347,0.015694272008291994,0.583032465048903,0.011870084024842754,,,1.0088894367218018,0.34358362345536897,0.16899576187133789,0.02973406845269048,0.8398936748504638,0.3254334492923368,0.0,0.0
Synthetic Classification,GPT-GNN,0.45499999999999996,0.010982941318244408,0.47078581596710867,0.01109519450097822,0.4541356632443934,0.012583811488014443,0.4473133167052231,0.009534956751655898,0.7545868413170312,0.018212049434271148,,,46.462296104431154,0.5561984689901804,1.216691303253174,0.05310100271540155,45.245604801177976,0.5093882228915338,0.0,0.0
Synthetic Classification,SimpleGAT,0.5644,0.046130792319230764,0.5620553985062986,0.0477866429985206,0.5645114207653978,0.04646175416302378,0.562171607389664,0.047697025836240914,,,,,0.19338746070861818,0.026112971159077205,0.19338746070861818,0.026112971159077205,,,0.0,0.0
Synthetic Classification,SimpleGNN,0.41159999999999997,0.014501724035437985,0.41023311175372107,0.015601278443505923,0.41111282152574236,0.015715158414787354,0.4094033793070498,0.016356818759535437,,,,,0.14500226974487307,0.011972528078889462,0.14500226974487307,0.011972528078889462,,,0.0,0.0
Synthetic Classification,SimpleGraphSAGE,0.7461,0.015126136320951227,0.7466919055117073,0.01579383597983156,0.7467303345098217,0.015035046387921918,0.745474083268559,0.014950546256292916,,,,,0.09586305618286133,0.005606394245470352,0.09586305618286133,0.005606394245470352,0.0,0.0,0.0,0.0
Synthetic Classification,Struct-G Internal Classifier,0.9704,0.008763560920082614,0.9706821954510059,0.00841935613227326,0.9705172485707798,0.008866943502484431,0.9704468420275498,0.008731209842440498,,,,,28.789054679870606,1.126741703315786,0.3275151252746582,0.04842080070914588,28.461539554595948,1.0825271590459384,0.0,0.0
Synthetic Classification,Struct-G Structural Only Pretrain,0.8967,0.00399374510954318,0.8970615433752664,0.003756705570723556,0.8968794919447898,0.004223193957011945,0.8964710511509356,0.004086373895144573,,,,,28.37463421821594,0.7829671952144642,0.0418797492980957,0.6836501071198943,28.332754468917848,0.8633606121594513,0.0,0.0
Synthetic Link Prediction,Deep GCN,0.5,0.0,0.5,0.0,0.999851851851852,0.0003312693299999451,0.6666337285902503,7.365177791499897e-05,0.4944777503429355,0.008801601001912176,0.4975927164647988,0.006401872981533506,7.246411657333374,0.544637863283701,0.0,0.0,0.8398936748504638,0.3254334492923368,6.40651798248291,0.7425749931050896
Synthetic Link Prediction,GPT-GNN,0.494238683127572,0.013506001057180288,0.488510946654994,0.030175801331700898,0.21333333333333332,0.037595920440321964,0.29528065037929563,0.03447126437482855,0.4263290656912056,0.013270997808212682,0.4772020509497068,0.013655235233180244,58.246123743057254,0.6909893152588129,0.0,0.0,45.245604801177976,0.5093882228915338,13.000518941879273,0.5624514757581134
Synthetic Link Prediction,SimpleGAT,0.5225419664268586,0.02182122429942894,0.521146559599899,0.020182819263906564,0.5558752997601919,0.031239556967831324,0.5377616428588116,0.023588267742640567,0.5329250268849668,0.017306242290266654,0.5234572368342305,0.0062206208458547895,2.233384609222412,0.2530270777527047,0.0,0.0,,,2.233384609222412,0.2530270777527047
